fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
302792221_31082009.pdf,,2009-08-31,Association familiale de gestion du Lycée Anne-Marie Javouhey,TRECLUN,939942,-3797,37726,1947381,1016101,2380798,48,true,ambigu,78,B,14.8,25,20,7.8,10,
302792221_31082010.pdf,,2010-08-31,Association familiale de gestion du Lycée Anne-Marie Javouhey,TRECLUN,986930,-18575,3509,1912971,1128340,2348295,50,true,ambigu,77,B,14.1,25,20,7.5,10,
302792221_31082011.pdf,,2011-08-31,Association familiale de gestion du Lycée Anne-Marie Javouhey,TRECLUN,1023880,-29996,-10059,1874163,1155984,2436811,51,true,deficit,75,B,13.5,24.0,20,7.4,10,
302792221_31082013.pdf,,2013-08-31,Association familiale de gestion responsable de l'établissement du Lycée du Val de Saône AM Javouhey,TRECLUN,900498,-69094,-46846,2560395,1065360,4856510,3,false,deficit,62,B,11.2,16.5,20,14.6,0,
302792221_31082014.pdf,,2014-08-31,Association familiale de gestion responsable de l'établissement du Lycée du Val de Saône AM Javouhey,TRECLUN,804083,-138873,-126226,2613518,1144000,3524459,4,false,deficit,64,B,6.4,23.2,20,14.4,0,
302792221_31082015.pdf,,2015-08-31,Association Familiale de Gestion Responsable de l'établissement du Lycée du Val de Saône AM Javouhey,CHAMBLANC,721942,-244511,-252829,2358075,19988,3524459,4,true,deficit,46,C,0,20.9,1.1,14.4,10,
302792221_31082016.pdf,,2016-08-31,Association Familiale de Gestion Responsable de l'établissement du Lycée du Val de Saône AM Javouhey,CHAMBLANC,722007,-266009,-256789,2101287,428493,3216675,5,true,deficit,65,B,0,20.4,20,14.3,10,
302792221_31082017.pdf,30279222100012,2017-08-31,ASSOCIATION DE GESTION LYCÉE ANNE MARIE JAVOUHEY,CHAMBLANC,837304,-180924,-175772,1925515,403420,2676035,2,true,deficit,71,B,4.2,22.5,19.3,14.7,10,
302792221_31082018.pdf,,2018-08-31,Association de gestion lycée Anne Marie Javouhey,Chamblanc,793865,-218366,-228294,1697222,299962,2396370,2,true,deficit,63,B,1.2,22.1,15.1,14.7,10,
302792221_31082019.pdf,30279222100012,2019-08-31,ASSOCIATION DE GESTION LYCÉE ANNE MARIE JAVOUHEY,CHAMBLANC,817338,-146670,-159132,1490683,55506,2396370,6,true,deficit,52,C,6.0,19.4,2.7,14.1,10,
302792221_31082020.pdf,30279222100012,2020-08-31,ASSOCIATION DE GESTION DU LYCÉE ANNE MARIE JAVOUHEY,CHAMBLANC,817338,-146671,-15962,524571,336872,2085414,6,true,deficit,55,C,6.0,7.9,16.5,14.1,10,
