fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
339763781_31082020.pdf,33976378100012,2020-08-31,MOISSAC CULTURE VIBRATIONS,MOISSAC,468328,-591,8020,-7020,265850,409653,85,true,ambigu,47,C,14.9,0,20,2.3,10,
341931004_31122009.pdf,,2009-12-31,CENTRE SOCIAL MAISON DES DEUX QUARTIERS,ROUBAIX,1226989,15845,40947,426552,166668,426552,62,true,excedent,62,B,15.6,25,5.4,5.7,10,
341931004_31122022.pdf,,2022-12-31,Association ICIELA,ROUBAIX,2783800,-51295,-7843,572134,403691,1263697,93,true,ambigu,45,C,14.1,14.1,5.8,1.1,10,
341931004_31122023.pdf,,2023-12-31,ICIELA,ROUBAIX,2612980,-97468,-93172,471267,279143,1039558,94,true,deficit,43,C,13.1,14.2,4.3,0.9,10,
345093249_31122006.pdf,345093249,,,,,,,,,,,,,,,,,,,,JSON invalide: unexpected character: 'Je' at line 1 column 1
378985030_31122006.pdf,,2006-12-31,Office Thermal et Tourisme d'Uriage,Uriage-les-Bains,390442,22723,22814,92680,116084,145475,90,true,excedent,61,B,17.9,19.9,11.9,1.5,10,
378985030_31122007.pdf,,2007-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE LES BAINS,351339,1768,22814,92680,139120,157344,99,true,excedent,60,B,15.3,18.4,15.8,0.2,10,
378985030_31122008.pdf,,2008-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE LES BAINS,393526,4501,10645,97114,139195,170387,90,true,excedent,59,C,15.6,17.8,14.1,1.5,10,
378985030_31122009.pdf,,2009-12-31,ASSOCIATION OFFICE THERMAL ET TOURISME D'URIAGE - OTTU,URIAGE,398213,16299,15675,70794,106316,158878,88,true,excedent,53,C,17.0,13.9,10.7,1.8,10,
378985030_31122010.pdf,,2010-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE,449531,2829,8800,78763,88816,166531,78,true,excedent,51,C,15.3,14.8,7.9,3.3,10,
378985030_31122011.pdf,,2011-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE,454538,-14081,-10977,67786,102366,159592,81,true,deficit,49,C,13.5,13.3,9.0,2.9,10,
378985030_31122012.pdf,,2012-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE,426286,826,1897,69683,99741,140874,86,true,excedent,52,C,15.1,15.5,9.4,2.1,10,
378985030_31122013.pdf,,2013-12-31,OFFICE THERMAL ET TOURISME D'URIAGE,URIAGE,426855,5188,6252,75936,113966,154719,88,true,excedent,53,C,15.6,15.3,10.7,1.8,10,
378985030_31122014.pdf,,2014-12-31,OFFICE THERMAL ET TOURISTIQUE D'URIAGE,URIAGE,443213,18860,8964,75936,128977,176640,85,true,excedent,54,C,17.1,13.4,11.6,2.3,10,
378985030_31122015.pdf,,2015-12-31,OFFICE THERMAL ET TOURISME D'URIAGE OTTU,URIAGE,446728,8642,18252,103152,143116,193382,85,true,excedent,58,C,16.0,16.7,12.8,2.3,10,
378985030_31122016.pdf,,2016-12-31,Office Thermal et Tourisme d'Uriage,Uriage,347100,,,,,,100,false,ambigu,15,E,15.0,0,0.0,0.0,0,
378985030_31122017.pdf,,2017-12-31,OFFICE THERMAL ET TOURISTIQUE D'URIAGE,URIAGE,407869,12155,12011,80978,89863,145037,89,true,excedent,54,C,16.5,17.4,8.8,1.7,10,
378985030_31122018.pdf,,2018-12-31,Office Thermal et Touristique d'Uriage,Uriage,412388,7334,5121,86099,78609,146481,88,true,excedent,54,C,15.9,18.4,7.6,1.8,10,
378985030_31122019.pdf,,2019-12-31,OFFICE THERMAL TOURISTIQUE D'URIAGE LES BAINS,URIAGE,405658,2450,-6430,79669,82985,132666,88,false,ambigu,44,C,15.3,18.8,8.2,1.8,0,
378985030_31122020.pdf,,2020-12-31,Office Thermal Touristique d'Uriage les Bains,Uriage,322637,3478,1342,81011,91189,149809,97,false,excedent,44,C,15.5,16.9,11.3,0.5,0,
378985030_31122021.pdf,,2021-12-31,OFFICE THERMAL TOURISTIQUE D'URIAGE LES BAINS,URIAGE,375247,-3653,-3776,77236,93579,167579,89,false,deficit,41,C,14.5,14.4,10.0,1.7,0,
379093057_31122008.pdf,,2008-12-31,CRECHE LES PETITS LOUPS,VIC EN BIGORRE,375085,-121,0,49137,4032,136114,19,true,ambigu,49,C,15.0,11.3,0.4,12.2,10,
