siren,status,pdfs_found,new_pdfs_copied,error
538356312,no_pdf,0,0,
810090530,no_pdf,0,0,
533733937,no_pdf,0,0,
413627894,ok,3,3,
804843894,no_pdf,0,0,
494576382,no_pdf,0,0,
442122396,no_pdf,0,0,
807444641,no_pdf,0,0,
814150207,no_pdf,0,0,
845180918,no_pdf,0,0,
894113851,no_pdf,0,0,
792364986,no_pdf,0,0,
385208590,ok,10,10,
498303320,ok,4,4,
347506552,ok,7,7,
807402763,no_pdf,0,0,
812396315,no_pdf,0,0,
508433885,no_pdf,0,0,
525250452,no_pdf,0,0,
528825565,no_pdf,0,0,
847609831,no_pdf,0,0,
508240165,no_pdf,0,0,
393247788,ok,1,1,
777927203,ok,7,7,
302792221,ok,12,12,
449983972,no_pdf,0,0,
843138314,no_pdf,0,0,
481052744,no_pdf,0,0,
832077978,no_pdf,0,0,
825267370,no_pdf,0,0,
781621149,no_pdf,0,0,
793792631,no_pdf,0,0,
794570556,no_pdf,0,0,
788883452,no_pdf,0,0,
750359093,no_pdf,0,0,
331349837,no_pdf,0,0,
377920665,no_pdf,0,0,
881881254,no_pdf,0,0,
835197526,no_pdf,0,0,
434709333,no_pdf,0,0,
839650025,no_pdf,0,0,
529526642,no_pdf,0,0,
403680275,no_pdf,0,0,
512807165,no_pdf,0,0,
531492312,no_pdf,0,0,
441731338,no_pdf,0,0,
540042991,no_pdf,0,0,
788494649,no_pdf,0,0,
381938133,no_pdf,0,0,
408338135,no_pdf,0,0,
410670616,ok,10,10,
534871207,no_pdf,0,0,
387766918,no_pdf,0,0,
831216866,no_pdf,0,0,
403793201,no_pdf,0,0,
512852831,no_pdf,0,0,
498837129,ok,9,9,
491440822,ok,12,12,
778488510,ok,1,1,
884033861,no_pdf,0,0,
801146432,ok,1,1,
802309864,no_pdf,0,0,
450624192,no_pdf,0,0,
305333601,no_pdf,0,0,
844652909,no_pdf,0,0,
393977863,no_pdf,0,0,
397733635,no_pdf,0,0,
452988678,no_pdf,0,0,
838657237,no_pdf,0,0,
314979642,no_pdf,0,0,
499045227,no_pdf,0,0,
318043833,ok,2,2,
812619492,no_pdf,0,0,
894121888,no_pdf,0,0,
775857824,no_pdf,0,0,
832085385,no_pdf,0,0,
819555756,no_pdf,0,0,
533393005,no_pdf,0,0,
440661270,no_pdf,0,0,
797976230,no_pdf,0,0,
449701333,no_pdf,0,0,
822649455,no_pdf,0,0,
353588593,no_pdf,0,0,
818613838,no_pdf,0,0,
812826758,no_pdf,0,0,
384190906,no_pdf,0,0,
841650195,no_pdf,0,0,
831096953,no_pdf,0,0,
538857863,no_pdf,0,0,
803878073,no_pdf,0,0,
840768915,no_pdf,0,0,
528922347,no_pdf,0,0,
882606742,no_pdf,0,0,
