siren,cloture,nom,ville,departement,ape_section,score_vigi,niveau_vigi,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,date_snapshot
391777356,2022-06-30,ASSOCIATION TOULOUSE XIII,TOULOUSE,31,93,59,C,17.6,24.6,3.0,4.1,10,2026-05-08
391777356,2021-06-30,ASSOCIATION TOULOUSE XIII,TOULOUSE,31,93,76,B,27.8,17.0,16.8,4.2,10,2026-05-08
398694570,2022-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,BORD'HAUT DE VIGNY,95,94,80,A,15.1,24.4,18.0,12.8,10,2026-05-08
398694570,2023-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,BORD'HAUT DE VIGNY,95,94,86,A,17.2,25,20,13.5,10,2026-05-08
402283543,2022-12-31,Association CLAP SUD OUEST,BORDEAUX,33,85,33,D,15.2,2.8,4.2,0.5,10,2026-05-08
402283543,2024-12-31,Association Comité de Liaison des Acteurs de la Promotion Sud-Ouest,LORMONT,33,85,16,E,0,0,4.6,1.2,10,2026-05-08
402283543,2023-12-31,CLAP SUD OUEST,BORDEAUX,33,85,29,D,14.7,1.9,0.0,2.4,10,2026-05-08
404149932,2022-12-31,Association Centre Social Promesses,Wattignies,59,88,63,B,15.7,18.8,17.2,1.3,10,2026-05-08
404862294,2022-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,LILLE,59,88,32,D,18.9,0,9.0,4.4,0,2026-05-08
404862294,2023-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,LILLE,59,88,20,D,12.3,0,4.8,2.6,0,2026-05-08
404862294,2024-12-31,Association FACE MEL,LILLE,59,88,20,D,12.5,0,2.7,4.8,0,2026-05-08
412542326,2022-12-31,AAPPUI,,38,88,28,D,12.8,0,0.1,15.0,0,2026-05-08
418355079,2024-12-31,Association Le Maillon,Istres,13,88,42,C,13.0,14.3,0.7,4.4,10,2026-05-08
420609182,2024-12-31,Association ADAM,NICE,06,93,50,C,8.4,19.6,6.7,5.7,10,2026-05-08
420609182,2022-12-31,ASSOCIATION ADAM,NICE,06,93,70,B,23.5,22.3,9.7,4.4,10,2026-05-08
420609182,2023-12-31,Association ADAM,Nice,06,93,64,B,16.1,22.4,11.1,4.4,10,2026-05-08
421376468,2022-12-31,ASSOCIATION PRACTHIS,Paris,75,94,70,B,16.0,25,6.6,12.5,10,2026-05-08
421376468,2024-12-31,ASSOCIATION PRACTHIS,Paris,75,94,46,C,15.0,0.0,8.3,12.8,10,2026-05-08
421376468,2023-12-31,ASSOCIATION PRACTHIS,Paris,75,94,69,B,16.4,23.1,7.4,11.9,10,2026-05-08
423855535,2022-12-31,Association MAISONS DE MODE,ROUBAIX,59,85,9,E,6.8,0,0.5,2.0,0,2026-05-08
433580198,2020-12-31,ASSOCIATION OBJECTIF EMPLOI,TOURCOING,59,88,40,C,21.2,0,8.0,0.8,10,2026-05-08
434537635,2023-12-31,Association EPONA,Fontaine,90,87,29,D,16.8,0,0.8,1.1,10,2026-05-08
434537635,2021-12-31,Association EPONA,Fontaine,90,87,35,D,14.3,6.4,2.6,1.2,10,2026-05-08
434537635,2022-12-31,Association EPONA,Fontaine,90,87,22,D,11.0,0,0.1,0.9,10,2026-05-08
439887662,2021-12-31,SAOME,ETANG-SALE LES HAUTS,974,94,54,C,15.1,14.2,11.5,3.5,10,2026-05-08
439887662,2022-12-31,SAOME,ETANG-SALE LES HAUTS,974,94,53,C,15.0,15.6,9.7,2.9,10,2026-05-08
439887662,2023-12-31,SAOME - Santé Addictions Outre-Mer,ETANG-SALE LES HAUTS,974,94,60,B,14.8,25,7.2,2.7,10,2026-05-08
440665842,2022-12-31,ASSA SPN ASSO - Réseau des Profess.du Numérique,POITIERS,86,94,28,D,7.9,12.5,2.1,5.1,0,2026-05-08
449666148,2021-12-31,LES PETITS DEBROUILLARDS - GRAND EST MAXEVILLE,MAXEVILLE,54,93,48,C,16.1,4.9,20,6.9,0,2026-05-08
449666148,2023-12-31,Les Petits Débrouillards du Grand Est,Maxeville,54,93,40,C,11.0,2.2,8.1,9.0,10,2026-05-08
479605941,2022-12-31,ASSOCIATION JETS D'ENCRE,PARIS,75,94,29,D,12.8,0,2.6,3.6,10,2026-05-08
484675012,2024-12-31,ASSOC ASALEE,LORETZ-D'ARGENTON,75,94,15,E,13.0,0,2.1,0.3,0,2026-05-08
484675012,2023-12-31,ASSOC ASALEE,LORETZ-D'ARGENTON,75,94,5,E,4.0,0,0.0,1.3,0,2026-05-08
