siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
777743253,ASSOCIATION PATRONAGE AVENIR DE RENNES,Rennes,35000,35,2024-08-14,2024-07-25,Dépôt de l'état des créances,Avis de dépôt,A202401571979
531140226,ASSOCIATION ACCILR,Nîmes,30900,30,2024-08-13,2024-07-18,Autre jugement prononçant,Jugement prononçant,A202401562356
808279947,ASSOCIATION LA MAISON DU SAVOIR,Grande Synthe,59379,59,2024-08-13,2024-07-18,Autre jugement prononçant,Jugement prononçant,A202401562409
883545980,ASSOCIATION KEDOUCHA,Nancy,54000,54,2023-11-16,2023-10-27,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202302212268
388499626,ASSOCIATION TENNIS CLUS DES HAUTS DE NIMES,Nîmes,30900,30,2023-07-06,2023-06-15,Autre jugement prononçant,Jugement prononçant,A202301294336
484543194,ASSOCIATION ROCK EN STOCK OPALE,Etaples,62630,62,2024-02-04,2023-12-28,Dépôt de l'état des créances,Avis de dépôt,A202400241246
383227170,ASSOCIATION STELLA EDUCATIVE SPORTIVE,Calais,62100,62,2024-08-11,2024-07-18,Jugement de clôture pour extinction du passif,Jugement de clôture,A202401553817
411382542,ASSOCIATION A’DOM’SERVICES 62,Boulogne-sur-Mer,62200,62,2023-01-24,2023-01-05,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202300162294
903098705,ASSOCIATION LE FOURNIL DES PAPILLONS,Calais,62100,62,2023-07-28,2023-07-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202301442535
342513819,ASSOCIATION GIRIMBELLE,Saint-Pierre,97410,974,2024-08-11,2024-07-23,Autre jugement prononçant,Jugement prononçant,A202401554343
315492728,ASSOCIATION IFOROP - INSTITUT DE FORMATION DE L’OUEST PARISIEN,Nanterre,92000,92,2024-08-06,2024-07-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401512648
889257218,ASSOCIATION L’ESSENCE’CIEL,Perpignan,66000,66,2024-08-02,2024-07-11,Autre jugement prononçant,Jugement prononçant,A202401491088
822622155,ASSOCIATION BLUE EYES RANCH,Thuir,66300,66,2024-08-02,2024-07-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401491093
789014891,ASSOCIATION CULTURELLE CATALANE ET MULTILINGUE JORDI PERE CERDA,Saillagouse,66800,66,2024-08-02,2024-07-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401491094
905189114,ASSOCIATION SYMPHONY PRODUCTION,Perpignan,66000,66,2024-08-02,2024-07-11,Autre jugement prononçant,Jugement prononçant,A202401491089
532449626,ASSOCIATION BOITE SANS PROJET,Amiens,80000,80,2024-08-01,2024-06-28,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A20240148959
530708072,ASSOCIATION FERRIEROISE LES PETITS BOUTS DE CHOUX,Ferrières,80470,80,2024-01-07,2023-11-20,Dépôt de l'état des créances,Avis de dépôt,A202400041943
327852687,ASSOCIATION RADIO EMERAUDE,Le Folgoët,29260,29,2023-02-16,2023-01-16,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202300332071
793194135,ASSOCIATION LA CUISINE DU WEB,Lyon,69003,69,2024-07-31,2024-07-17,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401473072
409547254,ASSOCIATION INTERCOMMUNALE DE DANSE,Caulnes,22350,35,2024-07-31,2024-07-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401472925
534781604,ASSOCIATION ILEOYA VACANCES,L'Ile-d'Yeu,85350,85,2024-07-30,2024-07-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401465521
532940384,ASSOCIATION YACHT CLUB DE L’ILE D’YEU,L'Ile-d'Yeu,85350,85,2024-07-30,2024-07-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401465522
391480142,ASSOCIATION LES PIT’CHOUNS,Flers,61100,61,2024-01-16,2023-12-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202400102933
417893351,ASSOCIATION COLLECTIF MOUFIA BOIS DE NEFLES,Saint denis,97490,974,2024-07-28,2024-06-20,Autre jugement prononçant,Jugement prononçant,A202401453244
378368468,ASSOCIATION GROUPE DE CHOMEURS ACTIFS,Saint-Joseph,97480,974,2024-07-28,2024-07-04,Jugement de clôture pour extinction du passif,Jugement de clôture,A202401453255
884063884,ASSOCIATION UNION FRANCOPHONE,Saint-Denis,97400,974,2023-09-08,2023-08-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301731682
850698838,ASSOCIATION AUVERGNE RHONE ALPES IN MOTION,Villeurbanne,69100,69,2023-09-26,2023-09-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202301852831
776945156,ASSOCIATION GROUPE OCTANTIS,Toulouse,31000,31,2024-07-26,2024-07-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401441532
812275345,ASSOCIATION LOISIRS POUR TOUS,Auterive,31190,31,2024-07-26,2024-07-02,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401441529
824347223,ASSOCIATION THE SEACLEANERS,La Trinité-sur-Mer,56470,56,2024-07-25,2024-07-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401432024
500277827,ASSOCIATION DES ECOLES DE MUSIQUE DE VILLENEUVE D’ASCQ,Villeneuve-d'Ascq,59650,59,2024-07-25,2024-07-05,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202401432056
381942184,ASSOCIATION CENTRE SOCIAL SALENGRO,Armentières,59280,59,2024-07-25,2024-07-05,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401432055
378924161,ASSOCIATION RAVINE BLANCHE CLUB,Saint-Pierre,97410,974,2024-07-25,2024-07-02,Autre jugement et ordonnance,Extrait de jugement,A202401432367
840484422,ASSOCIATION CENTRE DENTAIRE D’EVREUX,Evreux,27000,27,2023-03-16,2023-03-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300532176
819580218,ASSOCIATION EXCELLENC ELLES JEUNES,La Rochelle,17000,17,2024-01-23,2024-01-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202400152846
801491283,ASSOCIATION EPI CENTRE SOLIDAIRE ET SOCIALE,Lyon,69008,69,2023-07-27,2023-06-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301431679
804649739,ASSOCIATION A.D.J. SERVICES,Sainte-Anne,97227,972,2023-06-23,2023-05-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301203088
812859627,ASSOCIATION SIPIN EQUESTRIAN,Saint-Andiol,13670,13,2024-07-23,2024-07-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401413798
814824686,ASSOCIATION SOLEIL A DOM SERVICES,Le Lorrain,97214,972,2024-07-23,2024-06-25,Jugement de plan de redressement,Extrait de jugement,A202401414420
530382449,ASSOCIATION DU DEVELLOPEMENT ET DE L’ECONOMIE SOLIDAIRE ET SOCIAL,Cayenne,97300,973,2024-07-23,2024-06-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401414431
423659390,ASSOCIATION MENDE VOLLEY LOZERE,Mende,48000,48,2024-07-23,2024-07-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401413997
775446263,ASSOCIATION BAPTEROSSES HOPITAL SAINT JEAN,Briare,45250,45,2024-07-23,2024-06-27,Jugement de plan de redressement,Extrait de jugement,A202401413977
779221985,ASSOCIATION ARAMIS 63,Clermont-Ferrand,63100,63,2023-02-01,2023-01-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202300221648
429065949,ASSOCIATION ASUL LYON VOLLEY-BALL,Lyon,69007,69,2023-03-16,2023-02-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202300532476
443102231,ASSOCIATION LA COMPAGNIE ZOUKOUYANYAN,Cayenne,97300,973,2024-07-23,2024-04-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401414432
314870056,ASSOCIATION LA SAINTE FAMILLE,Le Robert,97231,972,2023-06-23,2023-05-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301203089
433521960,ASSOCIATION H2EAUX,Fort-de-France,97200,972,2024-07-23,2024-06-25,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202401414417
779558147,ASSOCIATION DU PALAIS DES SPORTS - GRENOBLE - ISERE,Grenoble,38000,38,2024-07-21,2024-07-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401402247
480649276,ASSOCIATION ATELIER LYRIQUE DE BOURGOGNE,Dijon,21000,21,2023-08-06,2023-07-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301501086
810117879,ASSOCIATION A-FLO-SERVICES,Pont-sur-Yonne,89140,89,2024-07-21,2024-07-01,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401402629
409768942,ASSOCIATION MUSIQUE EN PAYS SAINT-LOUIS,Saint-Lô,50000,50,2024-07-21,2024-07-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401402280
325559870,ASSOCIATION PONEY CLUB DES 3D,Ronchin,59790,59,2024-07-21,2024-07-05,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401402338
879781219,ASSOCIATION ADN SANTE LILLE,Lille,59000,59,2023-01-26,2023-01-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300181549
411089626,ASSOCIATION PASSERELLES POUR L’INSERTION MERMOZ,Marseille,13005,13,2024-07-21,2024-07-09,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401402110
529013161,ASSOCIATION DE GESTION ET D’ADMINISTRATION DU CENTRE SOCIAL DU LONDEAU,Noisy-le-Sec,93130,93,2024-07-21,2024-07-04,Autre jugement prononçant,Jugement prononçant,A202401402685
853051910,ASSOCIATION DU CENTRE DENTAIRE ISLY sogme ASSOCIATION CDI,Paris,75008,75,2024-03-22,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400582408
811193309,ASSOCIATION SPARK&CO,Dunkerque,59140,59,2023-06-20,2023-06-02,Autre jugement prononçant,Jugement prononçant,A202301173147
353588593,ASSOCIATION AMD JOB SERVICE,Grenoble,38000,38,2023-07-30,2023-06-29,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301452047
839650025,ASSOCIATION EPICERIE DE GILIUS,Gilly-sur-Loire,71160,71,2023-02-28,2023-02-09,Autre jugement prononçant,Jugement prononçant,A202300412631
479741423,ASSOCIATION EMPREINTES 74 RESEAU TERRITOIRES NATURE ET PATRIMOINES,Cran-Gevrier,74960,74,2024-07-21,2024-06-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401402450
482716503,ASSOCIATION COMITE BI-DEPARTEMENTAL DU SPORT ADAPTE ALLIER PUY DE DOME,Clermont-Ferrand,63000,63,2024-07-19,2024-05-28,Dépôt de l'état des créances,Avis de dépôt,A202401393004
811516871,ASSOCIATION VENDEENNE POUR LA PROMOTION ET L’APPRENTISSAGE DU BENVOLAT,La Roche-sur-Yon,85000,85,2023-07-21,2023-06-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202301392055
841079544,ASSOCIATION NV SURF SCHOOL,Soulac-sur-Mer,33780,33,2024-07-18,2024-07-12,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202401383243
414247965,ASSOCIATION INITIATIVE ACTION EMPLOI,Paris,75011,75,2024-07-18,2024-07-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401383469
849200506,ASSOCIATION DE L’ECOLE SCANDINAVE,Saint-Génis-des-Fontaines,66740,66,2024-07-18,2024-06-27,Autre jugement prononçant,Jugement prononçant,A202401383365
801910175,ASSOCIATION LES VITRINES DU TREGOR,Lannion,22300,22,2024-07-18,2024-06-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401383194
784579807,ASSOCIATION ACTION DE FORMATION POUR L’AIDE AU MAINTIEN A,Paris,75020,75,2024-07-17,2024-06-20,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401371066
813151172,ASSOCIATION ECOLE DYNAMIQUE,Paris,75014,75,2023-01-29,2023-01-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300201809
485387781,ASSOCIATION PREAUT,Paris,75013,75,2024-07-16,2024-06-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401363410
326712841,ASSOCIATION ACCUEIL FEMMES SOLIDARITE,Nice,06000,06,2024-07-16,2024-06-17,Autre jugement et ordonnance,Extrait de jugement,A202401362873
802056168,ASSOCIATION DE VOUS A NOUS,Le Palais,56360,56,2023-12-08,2023-11-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202302371723
919707646,ASSOCIATION DE A A ZEBRE,Berck,62600,62,2024-03-14,2024-02-22,Autre jugement prononçant,Jugement prononçant,A202400522201
351303474,ASSOCIATION MAISON DES JEUNES ET DE LA CULTURE LA FABRIQUE,Tourcoing,59200,59,2024-07-14,2024-06-07,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202401351978
494490600,ASSOCIATION ENFANTINE,Grenoble,38100,38,2024-07-12,2024-06-27,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202401342229
399828581,ASSOCIATION POLE MUSICAL D’INNOVATION,Grenoble,38000,38,2024-05-26,2024-04-22,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202401001638
842970329,ASSOCIATION DANSE TON ART,Carbon-Blanc,33560,33,2024-07-12,2024-06-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401342064
814697983,ASSOCIATION PRO2CYCLE,Saint-Priest,69800,69,2024-02-04,2024-01-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202400241263
751207564,ASSOCIATION SYNDICALE LIBRE DES ALPIERS,La Calmette,30190,30,2024-07-12,2024-06-20,Autre jugement prononçant,Jugement prononçant,A202401341971
315281451,ASSOCIATION OU FONDATION,Ollioules,83190,83,2024-07-12,2024-06-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401342902
512881541,ASSOCIATION DES JARDINS ET DES HOMMES,Lille,59800,59,2023-05-04,2023-04-07,Autre jugement prononçant,Jugement prononçant,A202300871588
849778303,Association Centre de Santé Levallois,Levallois-Perret,92300,92,2023-04-27,2023-04-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300832565
850244484,Association CDS HAUSSMANN,Paris,75011,75,2023-03-23,2023-03-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300584006
807988597,ASSOCIATION OM YOGA VANNES,Séné,56860,56,2024-03-20,2024-01-29,Autre avis de dépôt,Avis de dépôt,A202400563310
380637793,ASSOCIATION REGIONALE SOCIO CULTURELLE DES PERSONNELS DU MINISTERE DE LA JUSTICE DE LA COUR D’APPEL DE DOUAI,Arras,62000,62,2024-07-09,2024-06-20,Jugement de clôture pour extinction du passif,Jugement de clôture,A202401313232
791525694,ASSOCIATION GROUPEMENT D’EMPLOYEURS SPORT ET ANIMATION RUN PROFESSION SPORT LOISIRS,Saint-Denis,97400,974,2023-10-12,2023-09-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301972856
879134203,ASSOCIATION OPHTALMOLOGIQUE DE BOULOGNE,Boulogne-Billancourt,92100,92,2024-07-09,2024-04-26,Dépôt de l'état des créances,Avis de dépôt,A202401313495
830837407,GROUPEMENT D’EMPLOYEUR EN ASSOCIATION POUR L’INSERTION,Wasquehal,59290,59,2024-02-14,2024-01-12,Autre jugement prononçant,Jugement prononçant,A202400313211
832485007,ASSOCIATION MOBILITE AVENIR,Croix,59170,59,2023-11-28,2023-10-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202302292989
800901761,ASSOCIATION ACADEMIE DU JEU D’ECHECS DE LA POSSESSION,La Possession,97419,974,2024-07-03,2024-06-06,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401273992
754072692,ASSOCIATION REPRESENTATIVE POUR L’ENSEIGNEMENT DU JUDAISME,Paris,75004,75,2024-07-03,2024-06-06,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401273794
413627894,ASSOCIATION REGIE DE QUARTIERS LA ROSE DES VENTS,Montfermeil,93370,93,2024-07-03,2020-05-28,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202401273971
