siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
884924507,ASSOCIATION LA BOGEOTTE DES LILAS,Blâmont,54450,54,2022-12-22,2022-12-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202483389
492319371,ASSOCIATION UNE IDEE DERRIERE L’ECRAN,Saint-Martin-de-Crau,13310,13,2022-12-22,2022-12-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202483270
,ASSOCIATION FEDERATION DES COMMERCANTS DE METZ,Metz,57000,57,2022-12-22,2022-12-09,Jugement de clôture pour extinction du passif,Jugement de clôture,A202202483400
439689787,ASSOCIATION REIMS CHAMPAGNE NATATION,Reims,51100,51,2022-12-22,2022-12-06,Autre jugement prononçant,Jugement prononçant,A202202483386
,ASSOCIATION UNION MUSICALE SAINT-GIRONNAISE,Saint-Girons,09200,09,2022-12-22,2022-12-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202483258
,ASSOCIATION MONTCALM SPORT NATURE,Auzat,09220,09,2022-12-22,2022-12-13,Liste des créances nées après le jugement d'ouverture d'une procédure de redressement judiciaire,Avis de dépôt,A202202483261
512852831,ASSOCIATION SAUVEGARD’,Schœlcher,97233,972,2022-12-21,2022-11-22,Autre jugement et ordonnance,Extrait de jugement,A202202471773
,ASSOCIATION RIE. L’ARCHE DU PARC,Boulogne-Billancourt,92100,92,2022-12-21,2022-12-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202471747
380814871,ASSOCIATION CLUB DE NATATION USLM PACOUSSINES,Remire-Montjoly,97354,973,2022-12-20,2022-12-02,Autre jugement et ordonnance,Extrait de jugement,A202202463757
,ASSOCIATION SYNDICALE LIBRE VILLA MAGNAN,Bordeaux,33000,33,2022-12-20,2022-12-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202463370
835197526,ASSOCIATION DECLIC,Dijon,21000,21,2022-12-20,2022-12-02,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202463309
499270643,SCI LE RUISSEAU - ASSOCIATION DES RESSOURCES HUMAINES POUR L’ACCUEIL DANS LA VIENNE,Vivonne,86370,86,2022-12-20,2020-02-25,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A202202463653
,ASSOCIATION SENIORS HABITAT CONFORME,Nice,06300,06,2022-12-18,2022-10-17,Autre jugement prononçant,Jugement prononçant,A202202452158
,ASSOCIATION DIAGRAMA INTERVENTION PSYCHOSOCIALE,Gévezé,35850,35,2022-12-18,2022-12-02,Autre avis de dépôt,Avis de dépôt,A202202452346
780341814,ASSOCIATION RESTAU VOULDY,Saint-Julien-les-Villas,10800,10,2022-12-18,2022-11-30,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202452165
,LA RUCHEE Association de Redynamisation de l’Union des Citoyens pour le Handicap l’Economie et l’Emploi,Folschviller,57730,57,2022-12-18,2022-11-17,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202452478
,ASSOCIATION SUCRES D’ORGE,Essertaux,80160,80,2022-12-16,2022-12-06,Autre jugement et ordonnance,Extrait de jugement,A202202443995
492562533,ASSOCIATION L’AIDATOUT,Montrabé,31850,31,2022-12-15,2022-11-23,Dépôt de l'état des créances,Avis de dépôt,A20220243763
,ASSOCIATION POUR LE DEVELOPPEMENT D’UN ESPACE ARTISTIQUE CULTUREL ET CIVIQUE A L’ENTREPOT,Paris,75014,75,2022-12-14,2022-10-20,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202422584
,ASSOCIATION PARC DU CHEVAL EN RHONE ALPES,Chazey-sur-Ain,01150,01,2022-12-14,2022-11-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202422306
840768915,ASSOCIATION GROUPEMENT D'EMPLOYEURS MFS,Marles-en-Brie,77610,77,2022-12-14,2022-11-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202422588
,ASSOCIATION POUR LE DEVELOPPEMENT D’UN ESPACE ARTISTIQUE CULTUREL ET CIVIQUE A L’ENTREPOT,,,78,2022-12-14,,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202422716
509317590,ASSOCIATION LE THEATRE DE LA RENCONTRE SCENIQUE,Bordeaux,33300,33,2022-12-14,2022-12-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202422406
,ASSOCIATION DYNAMIC SERAVIR CLUB,Aulnay-sous-Bois,93600,93,2022-12-11,2022-09-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202402289
,ASSOCIATION NANTES ACTION PERISCOLAIRE,Nantes,44000,44,2022-12-11,2022-11-29,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202401969
839650025,ASSOCIATION EPICERIE DE GILIUS,Gilly-sur-Loire,71160,71,2022-12-11,2022-11-24,Jugement de plan de redressement,Extrait de jugement,A202202402093
,ASSOCIATION OSEF BELGIQUE,,,27,2022-12-11,2022-10-20,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A202202401879
