siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
823286455,ASSOCIATION AU SENS DU PARTAGE,Bordeaux,33100,33,2021-07-29,2021-07-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202101462310
776951980,ASSOCIATION CCPS,Toulouse,31200,31,2020-03-12,2020-03-02,Liste des créances nées après le jugement d'ouverture d'une procédure de redressement judiciaire,Avis de dépôt,A202000512539
814604062,ASSOCIATION MAISON DE QUARTIER DES BOIS BLANCS BOUTIQUE DE SERVICES,Lille,59000,59,2021-07-29,2021-07-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101462451
487876807,ASSOCIATION AQUISEP,Bordeaux,33000,33,2020-10-06,2020-09-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001944559
507798254,ASSOCIATION A PETIT PAS,Régnié-Durette,69430,69,2021-07-29,2021-07-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101462528
810466359,ASSOCIATION LA SOURCE CO WORKING,Saran,45770,45,2021-07-27,2021-07-09,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101441964
484236641,ASSOCIATION ASIA CENTRE,Paris,75007,75,2020-08-04,2020-07-16,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202001491938
491235982,ASSOCIATION SOLIHA HABITAT TERRITOIRES OUEST,Plérin Cedex,22193,22,2021-07-23,2021-07-09,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101421415
813664307,ASSOCIATION LA MAIN DE L’ESPOIR,Paris,75012,75,2021-07-08,2020-06-17,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101322504
752148478,ASSOCIATION CENTRE EDUCATIF LES OLIVIERS,Marseille,13013,13,2021-04-04,2021-03-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202100663190
790199467,ASSOCIATION NOUVELLE EPICERIE SOLIDAIRE,Grâces,22200,22,2020-07-28,2020-07-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001443538
302888763,ASSOCIATION UCIA DE COMMERCY,Commercy,55200,55,2020-06-25,,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001221080
519461461,ASSOCIATION CANNES LUTTE,Cannes,06400,06,2021-07-22,2021-07-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101411907
338238660,ASSOCIATION DE DEFENSE ET D’ASSISTANCE JURIDIQUE ET EDUCATIVE DES TRAVAILLEURS IMMIGRES,Toulon,83000,83,2021-07-22,2021-07-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101412323
804874808,ASSOCIATION TEAM LA FOLY,La Cadière-d’Azur,83470,83,2020-02-14,2020-01-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202000324241
841728306,ASSOCIATION CHARLY ET SON VOYAGE IMPREVU AVEC L’AUTISME,Pralognan-la-Vanoise,73710,73,2021-07-22,2021-06-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101412225
538531435,ASSOCIATION SPORTIVE AUTOMOBILE DE BOURBON - “A.S.A.B.”,Saint-Benoît,97470,974,2020-12-08,2020-11-17,Autre jugement prononçant,Jugement prononçant,A202002383471
494968472,ASSOCIATION PROXIMITE SERVICES LOIR ET CHER,La Chaussée-Saint-Victor,41260,41,2020-06-26,2019-08-19,Dépôt de l'état des créances,Avis de dépôt,A202001233217
813972684,ASSOCIATION L’ELEPHANT D’AFRIQUE,Vaulx-en-Velin,69120,69,2021-07-18,2021-06-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101382288
409110913,"ASSOCIATION SWING KID’S, COTON CLUB",Verniolle,09340,09,2021-07-18,2021-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101382017
338156672,ASSOCIATION AIDOMI,Bordeaux,33300,33,2020-06-14,2020-04-03,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202001141503
781116462,ASSOCIATION MER ET CAMPAGNE,Rouen,76000,76,2021-02-07,2020-11-02,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202100262625
