fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,label
347758591_31122022.pdf,347758591,2022-12-31,ASSOCIATION RADIO VASSIVIERE,249325.0,-2527.0,5120.0,94712.0,120463.0,229887.0,96.0,-0.010135365486814398,0.4119937186530774,0.48315652261104985,0.02053544570339918,0,7.5,60,23,1
347820524_31122021.pdf,347820524,2021-12-31,ASSOCIATION SERVIR,3628654.0,-1846681.0,-1846681.0,-938323.0,55741.0,2764905.0,54.0,-0.5089162537954844,-0.3393689837444686,0.015361343352107973,-0.5089162537954844,0,34.0,87,90,1
351303474_31122022.pdf,351303474,2022-12-31,Association MJC CS LA FABRIQUE,1189287.0,-214585.0,-128175.0,-84176.0,16434.0,373676.0,41.0,-0.1804316367706029,-0.22526466778706686,0.013818363439607092,-0.10777465826163071,0,34.0,90,59,1
354060600_31122021.pdf,354060600,2021-12-31,ACADEL,1589223.0,-37432.0,-41873.0,226230.0,551988.0,981955.0,81.0,-0.023553648543974005,0.23038733954203605,0.3473319980896325,-0.026348095893401997,0,34.0,88,13,1
354060600_31122022.pdf,354060600,2022-12-31,ACADEL,1652458.0,-134031.0,-35455.0,238903.0,206232.0,829354.0,75.0,-0.08111007965104106,0.28805914000535354,0.12480317200195103,-0.021455915974868952,0,34.0,88,13,1
378354104_31122021.pdf,378354104,2021-12-31,TRICOT COUTURE SERVICE,697861.0,-71017.0,-47097.0,34572.0,55222.0,187237.0,80.0,-0.10176381829619366,0.1846429925709128,0.07913037123438622,-0.06748765155238651,0,74.0,95,54,1
378354104_31122022.pdf,378354104,2022-12-31,TRICOT COUTURE SERVICE,841227.0,-18698.0,-13156.0,21416.0,83032.0,231887.0,74.0,-0.022227056430666157,0.09235532824177294,0.09870344152054084,-0.015639060562725637,1,74.0,95,54,1
378354104_31122023.pdf,378354104,2023-12-31,TRICOT COUTURE SERVICE,1069045.0,-61482.0,-54035.0,46948.0,30807.0,256458.0,79.0,-0.057511143123067786,0.18306311364823868,0.028817308906547434,-0.05054511269404001,0,74.0,95,54,1
380134205_31122022.pdf,380134205,2022-12-31,ASSOCIATION FORUM NICE NORD,709054.0,-27754.0,-27754.0,148868.0,256155.0,287465.0,73.0,-0.039142293816832006,0.5178647835388656,0.3612630349733589,-0.039142293816832006,1,7.5,94,06,1
380134205_31122023.pdf,380134205,2023-12-31,ASSOCIATION FORUM NICE NORD,382493.0,-87284.0,-78877.0,69992.0,159082.0,214110.0,50.0,-0.22819764021825237,0.32689738919247113,0.415908264987856,-0.20621815301195054,0,7.5,94,06,1
383899903_30062021.pdf,383899903,2021-06-30,AMIENS PICARDIE HANDBALL,325780.0,42376.0,33323.0,-89811.0,99543.0,226685.0,68.0,0.13007551108109766,-0.39619295498158236,0.30555282706120696,0.10228681932592547,1,7.5,93,80,1
384175121_31122021.pdf,384175121,2021-12-31,IDé - Entreprise d'insertion,1148095.0,-5529.0,-735.0,-137070.0,193.0,685361.0,41.0,-0.004815803570262043,-0.19999679001285453,0.000168104555807664,-0.0006401909249670105,0,34.0,94,90,1
384175121_31122022.pdf,384175121,2022-12-31,Association IDé,1346365.0,-12772.0,-14545.0,-125606.0,110117.0,786409.0,38.0,-0.009486283437255128,-0.1597209594498537,0.08178837090982015,-0.01080316258963951,1,34.0,94,90,1
384175121_31122023.pdf,384175121,2023-12-31,Association IDé,1367856.0,-44778.0,-12906.0,-139554.0,116599.0,745713.0,35.0,-0.03273590202477454,-0.18714170196845167,0.0852421599934496,-0.009435203705653226,1,34.0,94,90,1
387671175_31122021.pdf,387671175,2021-12-31,Association de Formation et d'Insertion Gardoise Sud,1477724.0,189321.0,181935.0,543002.0,415587.0,1248294.0,22.0,0.12811661717614387,0.43499528156027345,0.28123452011336353,0.12311839017299576,1,34.0,85,30,1
387671175_31122023.pdf,387671175,2023-12-31,ASSOCIATION DE FORMATION ET D'INSERTION GARDOISE - SUD,1031615.0,-266865.0,-283681.0,342681.0,102108.0,898838.0,38.0,-0.25868662243181806,0.38124890135931055,0.09897878569039807,-0.2749872772303621,1,34.0,85,30,1
389747817_31122021.pdf,389747817,2021-12-31,TRANS-FORME,646806.0,-24374.0,-24166.0,-149919.0,14140.0,572226.0,33.0,-0.03768363311410222,-0.2619926392718961,0.021861269066768087,-0.037362052918494884,0,7.5,93,75,1
389747817_31122022.pdf,389747817,2022-12-31,TRANS-FORME,602278.0,-185857.0,-188291.0,-338210.0,15510.0,523240.0,16.0,-0.30859005309840304,-0.6463764238208088,0.02575222737672636,-0.31263137620832904,0,7.5,93,75,1
390695039_31122021.pdf,390695039,2021-12-31,REAGIR,1046761.0,9296.0,10101.0,167297.0,130413.0,496930.0,66.0,0.008880728265573517,0.33666109914877346,0.12458717892623053,0.009649767234354355,1,34.0,88,62,1
390695039_31122022.pdf,390695039,2022-12-31,Association RéAgir,,,-84908.0,33823.0,,,,,,,,1,34.0,88,62,1
391480142_31122020.pdf,391480142,2020-12-31,ASS LES PIT'CHOUNS,250784.0,-6530.0,-7063.0,67308.0,105825.0,123239.0,75.0,-0.026038343753987496,0.5461582778178986,0.42197668112798264,-0.028163678703585555,1,7.5,88,61,1
