fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,age_avant_jugement,label,cac_certification_qualite,concentration_financeurs,evolution_subv_3ans,evolution_resultat_3ans,cacq_certifie_sans_reserve,cacq_certifie_avec_reserve,cacq_refus_certification,cacq_alerte_continuite_exploitation
339038721_31122021.pdf,339038721,2021-12-31,ASSOCIATION TUTELAIRE LA CROIX MARINE,3194633.0,-37090.0,-41083.0,618847.0,1056704.0,1361817.0,82.0,-0.0116100973100822,0.4544274304109876,0.3307747713117594,-0.0128600061415505,0.0,74.0,88,974,2.7104722792607805,1,,,,,0,0,0,0
339038721_31122022.pdf,339038721,2022-12-31,CROIX MARINE DE LA REUNION,3334271.0,-20061.0,-19976.0,709681.0,1010286.0,1617629.0,94.0,-0.0060166075283022,0.4387167885837852,0.3030005659408008,-0.005991114699435,0.0,74.0,88,974,1.7111567419575633,1,,,12.0,0.006868891442115501,0,0,0,0
340223338_31122022.pdf,340223338,2022-12-31,ASSOCIATION CRECHE ST JACQUES,292917.0,-56775.0,-55048.0,-42888.0,62538.0,63543.0,8.0,-0.1938262374665861,-0.6749445257542137,0.2135007527729698,-0.187930369353776,0.0,7.5,88,83,1.5852156057494866,1,,0.88,,,0,0,0,0
340223338_31122023.pdf,340223338,2023-12-31,ASSOCIATION CRECHE ST JACQUES,321576.0,-14764.0,-13333.0,-56222.0,56532.0,59057.0,18.0,-0.0459113864218722,-0.9519955297424522,0.1757967012463616,-0.0414614274697116,0.0,7.5,88,83,0.5859000684462696,1,,,10.0,0.1464689418840644,0,0,0,0
343873295_31122023.pdf,343873295,2023-12-31,INST TECHNI DEVELOP PRODUITS MER,1891248.0,-198815.0,-64242.0,905539.0,2643.0,1964790.0,18.0,-0.1051237066741114,0.460883351401422,0.0013974899114235,-0.0339680464962818,0.0,14.0,71,56,1.218343600273785,1,,0.64,,,0,0,0,0
347758591_31122022.pdf,347758591,2022-12-31,ASSOCIATION RADIO VASSIVIERE,249325.0,-2527.0,5120.0,94712.0,120463.0,229887.0,96.0,-0.0101353654868143,0.4119937186530774,0.4831565226110498,0.0205354457033991,0.0,7.5,60,23,2.806297056810404,1,,0.38,,,0,0,0,0
347820524_31122021.pdf,347820524,2021-12-31,ASSOCIATION SERVIR,3628654.0,-1846681.0,-1846681.0,-938323.0,55741.0,2764905.0,54.0,-0.5089162537954844,-0.3393689837444686,0.0153613433521079,-0.5089162537954844,0.0,34.0,87,90,1.952087611225188,1,,,,,0,0,0,0
351303474_31122022.pdf,351303474,2022-12-31,Association MJC CS LA FABRIQUE,1189287.0,-214585.0,-128175.0,-84176.0,16434.0,373676.0,41.0,-0.1804316367706029,-0.2252646677870668,0.013818363439607,-0.1077746582616307,0.0,34.0,90,59,1.434633812457221,1,,,,,0,0,0,0
354060600_31122021.pdf,354060600,2021-12-31,ACADEL,1589223.0,-37432.0,-41873.0,226230.0,551988.0,981955.0,81.0,-0.023553648543974,0.230387339542036,0.3473319980896325,-0.0263480958934019,0.0,34.0,88,13,2.1218343600273784,1,,,,,0,0,0,0
354060600_31122022.pdf,354060600,2022-12-31,ACADEL,1652458.0,-134031.0,-35455.0,238903.0,206232.0,829354.0,75.0,-0.081110079651041,0.2880591400053535,0.124803172001951,-0.0214559159748689,0.0,34.0,88,13,1.1225188227241616,1,,,-6.0,0.004892179918533,0,0,0,0
378354104_31122021.pdf,378354104,2021-12-31,TRICOT COUTURE SERVICE,697861.0,-71017.0,-47097.0,34572.0,55222.0,187237.0,80.0,-0.1017638182961936,0.1846429925709128,0.0791303712343862,-0.0674876515523865,0.0,74.0,95,54,2.806297056810404,1,,,,,0,0,0,0
378354104_31122022.pdf,378354104,2022-12-31,TRICOT COUTURE SERVICE,841227.0,-18698.0,-13156.0,21416.0,83032.0,231887.0,74.0,-0.0222270564306661,0.0923553282417729,0.0987034415205408,-0.0156390605627256,1.0,74.0,95,54,1.8069815195071868,1,certifie_sans_reserve,,-6.0,0.051848590989660895,1,0,0,0
378354104_31122023.pdf,378354104,2023-12-31,TRICOT COUTURE SERVICE,1069045.0,-61482.0,-54035.0,46948.0,30807.0,256458.0,79.0,-0.0575111431230677,0.1830631136482386,0.0288173089065474,-0.05054511269404,0.0,74.0,95,54,0.8076659822039699,1,,0.69,-0.5,0.008471269429173246,0,0,0,0
380134205_31122022.pdf,380134205,2022-12-31,ASSOCIATION FORUM NICE NORD,709054.0,-27754.0,-27754.0,148868.0,256155.0,287465.0,73.0,-0.039142293816832,0.5178647835388656,0.3612630349733589,-0.039142293816832,1.0,7.5,94,06,2.4202600958247777,1,certifie_sans_reserve,,,,1,0,0,0
380134205_31122023.pdf,380134205,2023-12-31,ASSOCIATION FORUM NICE NORD,382493.0,-87284.0,-78877.0,69992.0,159082.0,214110.0,50.0,-0.2281976402182523,0.3268973891924711,0.415908264987856,-0.2062181530119505,0.0,7.5,94,06,1.4209445585215603,1,,0.79,-23.0,-0.16707585919511853,0,0,0,0
383899903_30062021.pdf,383899903,2021-06-30,AMIENS PICARDIE HANDBALL,325780.0,42376.0,33323.0,-89811.0,99543.0,226685.0,68.0,0.1300755110810976,-0.3961929549815823,0.3055528270612069,0.1022868193259254,1.0,7.5,93,80,2.565366187542779,1,certifie_sans_reserve,,,,1,0,0,0
384175121_31122021.pdf,384175121,2021-12-31,IDé - Entreprise d'insertion,1148095.0,-5529.0,-735.0,-137070.0,193.0,685361.0,41.0,-0.004815803570262,-0.1999967900128545,0.0001681045558076,-0.000640190924967,0.0,34.0,94,90,2.751540041067762,1,,,,,0,0,0,0
384175121_31122022.pdf,384175121,2022-12-31,Association IDé,1346365.0,-12772.0,-14545.0,-125606.0,110117.0,786409.0,38.0,-0.0094862834372551,-0.1597209594498537,0.0817883709098201,-0.0108031625896395,1.0,34.0,94,90,1.7522245037645447,1,certifie_sans_reserve,,-3.0,-0.010162971664672501,1,0,0,0
384175121_31122023.pdf,384175121,2023-12-31,Association IDé,1367856.0,-44778.0,-12906.0,-139554.0,116599.0,745713.0,35.0,-0.0327359020247745,-0.1871417019684516,0.0852421599934496,-0.0094352037056532,1.0,34.0,94,90,0.7529089664613279,1,certifie_sans_reserve,,-3.0,-0.0043975063903431005,1,0,0,0
387671175_31122021.pdf,387671175,2021-12-31,Association de Formation et d'Insertion Gardoise Sud,1477724.0,189321.0,181935.0,543002.0,415587.0,1248294.0,22.0,0.1281166171761438,0.4349952815602734,0.2812345201133635,0.1231183901729957,1.0,34.0,85,30,2.261464750171116,1,certifie_sans_reserve,,,,1,0,0,0
387671175_31122023.pdf,387671175,2023-12-31,ASSOCIATION DE FORMATION ET D'INSERTION GARDOISE - SUD,1031615.0,-266865.0,-283681.0,342681.0,102108.0,898838.0,38.0,-0.258686622431818,0.3812489013593105,0.098978785690398,-0.2749872772303621,1.0,34.0,85,30,0.2628336755646817,1,alerte_continuite_exploitation,0.18,16.0,-0.3981056674033578,0,0,0,1
389747817_31122021.pdf,389747817,2021-12-31,TRANS-FORME,646806.0,-24374.0,-24166.0,-149919.0,14140.0,572226.0,33.0,-0.0376836331141022,-0.2619926392718961,0.021861269066768,-0.0373620529184948,0.0,7.5,93,75,2.510609171800137,1,,,,,0,0,0,0
389747817_31122022.pdf,389747817,2022-12-31,TRANS-FORME,602278.0,-185857.0,-188291.0,-338210.0,15510.0,523240.0,16.0,-0.308590053098403,-0.6463764238208088,0.0257522273767263,-0.312631376208329,0.0,7.5,93,75,1.51129363449692,1,,,-17.0,-0.27526932328983417,0,0,0,0
390695039_31122021.pdf,390695039,2021-12-31,REAGIR,1046761.0,9296.0,10101.0,167297.0,130413.0,496930.0,66.0,0.0088807282655735,0.3366610991487734,0.1245871789262305,0.0096497672343543,1.0,34.0,88,62,1.0896646132785763,1,certifie_sans_reserve,,,,1,0,0,0
390695039_31122022.pdf,390695039,2022-12-31,Association RéAgir,,,-84908.0,33823.0,,,,,,,,1.0,34.0,88,62,0.0903490759753593,1,,,,,0,0,0,0
391480142_31122020.pdf,391480142,2020-12-31,ASS LES PIT'CHOUNS,250784.0,-6530.0,-7063.0,67308.0,105825.0,123239.0,75.0,-0.0260383437539874,0.5461582778178986,0.4219766811279826,-0.0281636787035855,1.0,7.5,88,61,2.9869952087611225,1,certifie_sans_reserve,0.57,,,1,0,0,0
391480142_31122021.pdf,391480142,2021-12-31,ASS LES PIT'CHOUNS,259030.0,-25763.0,-20596.0,53960.0,50805.0,105533.0,74.0,-0.0994595220630814,0.5113092587152833,0.1961355827510327,-0.0795120256340964,1.0,7.5,88,61,1.9876796714579053,1,certifie_sans_reserve,,-1.0,-0.0513483469305109,1,0,0,0
391777356_30062021.pdf,391777356,2021-06-30,ASSOCIATION TOULOUSE XIII,377627.0,96636.0,73847.0,148901.0,158577.0,274304.0,72.0,0.2559033119983476,0.5428320403639757,0.4199302486315862,0.1955554025533132,1.0,14.0,93,31,3.006160164271048,1,certifie_sans_reserve,,,,1,0,0,0
391777356_30062022.pdf,391777356,2022-06-30,ASSOCIATION TOULOUSE XIII,457906.0,23668.0,-2868.0,138122.0,34644.0,175642.0,73.0,0.0516874642393853,0.7863836667767391,0.0756574493454988,-0.0062632942132228,1.0,14.0,93,31,2.00684462696783,1,certifie_sans_reserve,0.47,1.0,-0.201818696766536,1,0,0,0
398694570_31122022.pdf,398694570,2022-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,1124141.0,2995.0,15080.0,562248.0,505632.0,720585.0,15.0,0.0026642565300972,0.7802660338474989,0.4497941094577993,0.013414687303461,1.0,149.0,94,95,1.7138945927446954,1,certifie_sans_reserve,,,,1,0,0,0
398694570_31122023.pdf,398694570,2023-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,1794363.0,80605.0,112338.0,1123688.0,1053285.0,1308077.0,10.0,0.0449212338863429,0.85903811472872,0.5869966110536162,0.0626060613153525,1.0,149.0,94,95,0.7145790554414785,1,certifie_sans_reserve,,-5.0,0.0491913740118915,1,0,0,0
402283543_31122022.pdf,402283543,2022-12-31,Association CLAP SUD OUEST,1988612.0,6105.0,2601.0,86613.0,209300.0,954468.0,97.0,0.0030699804687892,0.0907447918631111,0.1052492894541519,0.0013079474527962,1.0,34.0,85,33,2.4695414099931554,1,certifie_sans_reserve,0.5,,,1,0,0,0
402283543_31122023.pdf,402283543,2023-12-31,CLAP SUD OUEST,1930073.0,-11570.0,-48971.0,37642.0,2364.0,624713.0,84.0,-0.005994591914399,0.0602548690358612,0.001224824138776,-0.0253726154399341,1.0,34.0,85,33,1.4702258726899384,1,alerte_continuite_exploitation,0.54,-13.0,-0.0266805628927303,0,0,0,1
402283543_31122024.pdf,402283543,2024-12-31,Association Comité de Liaison des Acteurs de la Promotion Sud-Ouest,1312709.0,-395332.0,-400875.0,-363233.0,149548.0,642775.0,92.0,-0.3011573776061564,-0.5651013185018086,0.1139231924211687,-0.3053799433080751,1.0,34.0,85,33,0.4681724845995893,1,alerte_continuite_exploitation,,-2.5,-0.15334394538043566,0,0,0,1
404149932_31122022.pdf,404149932,2022-12-31,Association Centre Social Promesses,501151.0,7157.0,1385.0,234740.0,215103.0,389497.0,91.0,0.0142811248505939,0.602674731769436,0.4292179403014261,0.0027636381050821,1.0,34.0,88,59,2.2587268993839835,1,certifie_sans_reserve,0.398,,,1,0,0,0
