url,title,pdf_url,chambre,exercices,pub_date,is_loi_1901
https://www.ccomptes.fr/fr/publications/association-quai-des-bulles-saint-malo-ille-et-vilaine,Association Quai des Bulles - Saint-Malo (Ille-et-Vilaine),https://www.ccomptes.fr/sites/default/files/2023-10/BRR2021-38.pdf,Bretagne,,2021-10-11,true
https://www.ccomptes.fr/fr/publications/association-lorient-grand-large-lorient-morbihan,"Association Lorient Grand Large, à Lorient (Morbihan)",https://www.ccomptes.fr/sites/default/files/2023-10/BRR2021-34.pdf,Bretagne,,2021-09-09,true
https://www.ccomptes.fr/fr/publications/association-les-genets-dor-finistere,Association « Les Genêts d’Or » (Finistère),https://www.ccomptes.fr/sites/default/files/2023-10/BRR2021-21.pdf,,,2021-08-23,false
https://www.ccomptes.fr/fr/publications/association-adapei-du-morbihan,Association Adapei du Morbihan,https://www.ccomptes.fr/sites/default/files/2023-10/BRR2021-24.pdf,,2016+,2021-07-05,false
https://www.ccomptes.fr/fr/publications/association-les-chiffonniers-de-la-joie-morlaix-finistere,"Association « Les Chiffonniers de la Joie », à Morlaix (Finistère)",https://www.ccomptes.fr/sites/default/files/2023-10/BRR2022-07.pdf,,,2022-03-09,false
https://www.ccomptes.fr/fr/publications/commune-de-paimpol-et-association-du-festival-de-chant-de-marin-de-paimpol-cotes,Commune de Paimpol et Association du festival de chant de marin de Paimpol (Côtes-d'Armor),https://www.ccomptes.fr/sites/default/files/2023-10/BRR2022-15.pdf,,,2022-09-27,false
https://www.ccomptes.fr/fr/publications/association-wild-rose-saint-brieuc-cotes-darmor-0,Association Wild Rose à Saint-Brieuc (Côtes-d'Armor),https://www.ccomptes.fr/sites/default/files/2023-10/Essentiel_asso_Wild_Rose_FF.pdf,,,2023-10-25,false
https://www.ccomptes.fr/fr/publications/association-le-fourneau-brest-finistere,Association Le Fourneau à Brest (Finistère),https://www.ccomptes.fr/sites/default/files/2023-10/BRR2023-34.pdf,Bretagne,,2023-10-06,true
https://www.ccomptes.fr/fr/publications/association-diwan-finistere,Association Diwan (Finistère),https://www.ccomptes.fr/sites/default/files/2024-01/Essentiel_Diwan_FF.pdf,,,2024-02-12,false
https://www.ccomptes.fr/fr/publications/association-etonnants-voyageurs-ille-et-vilaine,Association Étonnants Voyageurs (Ille-et-Vilaine),https://www.ccomptes.fr/sites/default/files/2024-01/Essentiel_Etonnants_Voyageurs_FF.pdf,,,2024-01-25,false
https://www.ccomptes.fr/fr/publications/association-la-passerelle-cotes-darmor,Association La Passerelle (Côtes-d'Armor),https://www.ccomptes.fr/sites/default/files/2026-01/BRR2025-40.pdf,,,2026-01-07,false
https://www.ccomptes.fr/fr/publications/association-lou-rugby-metropole-de-lyon,Association LOU Rugby (Métropole de Lyon),https://www.ccomptes.fr/sites/default/files/2025-12/ARA202574.pdf,Auvergne-Rhône-Alpes,,2025-12-16,true
https://www.ccomptes.fr/fr/publications/association-departementale-pour-adultes-et-jeunes-handicapes-de-charente-maritime,Association départementale pour adultes et jeunes handicapés de Charente-Maritime (APAJH 17) (Charente-Maritime),https://www.ccomptes.fr/sites/default/files/2025-12/NAR2025-063.pdf,,,2025-12-15,false
https://www.ccomptes.fr/fr/publications/association-sarthe-tourisme,Association Sarthe tourisme,https://www.ccomptes.fr/sites/default/files/2025-12/ROD-2025-241-Association-Sarthe-Tourisme.pdf,Pays de la Loire,2020+,2025-12-16,true
https://www.ccomptes.fr/fr/publications/association-umane-la-valette-du-var-var-cahier-1-association,"Association Umane  à La Valette-du-Var (Var),  Cahier 1 - Association",https://www.ccomptes.fr/sites/default/files/2025-11/PAR2025-1051_Cahier%201%20-%20Association.pdf,,,2025-12-08,false
https://www.ccomptes.fr/fr/publications/association-umane-la-valette-du-var-var-cahier-2-ehpad-la-marquisanne-1-et-2,"Association Umane à La Valette-du-Var (Var), Cahier 2 - Éhpad La Marquisanne 1 et 2",https://www.ccomptes.fr/sites/default/files/2025-11/PAR2025-1051_Cahier%202%20-%20Ehpad.pdf,,,2025-12-08,false
https://www.ccomptes.fr/fr/publications/association-creha-ouest-loire-atlantique,Association Creha Ouest (Loire-Atlantique),https://www.ccomptes.fr/sites/default/files/2025-12/ROD-2025-243-CREHA-OUEST.pdf,Pays de la Loire,,2025-12-04,true
https://www.ccomptes.fr/fr/publications/associations-gestionnaires-du-secteur-du-handicap-renforcer-la-gouvernance-et,Associations gestionnaires du secteur du handicap : renforcer la gouvernance et sécuriser la gestion pour mieux répondre aux besoins,https://www.ccomptes.fr/sites/default/files/2025-11/ROD%202025-242%20Rapport%20th%C3%A9matique-ADAPEI%20version%20accessible%20tous%20publics.pdf,Pays de la Loire,,2025-11-25,true
https://www.ccomptes.fr/fr/publications/association-arc-en-reve-gironde,Association Arc en rêve (Gironde),https://www.ccomptes.fr/sites/default/files/2025-10/NAR2025-055.pdf,,,2025-10-23,false
https://www.ccomptes.fr/fr/publications/association-des-centres-sociaux-de-douai-nord,Association des centres sociaux de Douai (Nord),https://www.ccomptes.fr/sites/default/files/2025-10/HFR2025-058.pdf,,,2025-10-17,false
https://www.ccomptes.fr/fr/publications/association-theatre-71-scene-nationale-malakoff-hauts-de-seine,"Association « Théâtre 71 », scène nationale à Malakoff (Hauts-de-Seine)",https://www.ccomptes.fr/sites/default/files/2025-10/IDR2025-33.pdf,Île-de-France,,2025-10-13,true
https://www.ccomptes.fr/fr/publications/association-les-gemeaux-scene-nationale-de-sceaux-hauts-de-seine,"Association Les Gémeaux, scène nationale de Sceaux (Hauts-de-Seine)",https://www.ccomptes.fr/sites/default/files/2025-10/IDR2025-29.pdf,Île-de-France,,2025-10-17,true
https://www.ccomptes.fr/fr/publications/association-des-amis-et-parents-de-personnes-handicapees-mentales-adapei-de-la-loire,Association des amis et parents de personnes handicapées mentales (Adapei) de la Loire,https://www.ccomptes.fr/sites/default/files/2025-09/ARA202535.pdf,Auvergne-Rhône-Alpes,2019+,2025-10-01,true
https://www.ccomptes.fr/fr/publications/chambre-regionale-dagriculture-de-bretagne/association-pour-la-tracabilite-et-le,Chambre régionale d’agriculture de Bretagne / Association pour la traçabilité et le développement d’outils pour l’identification et de logiciels d’élevage (E-TOILE),https://www.ccomptes.fr/sites/default/files/2024-05/20240503-arret_S-856-870_CRAB-E-Toile.pdf,Bretagne,,2024-05-03,false
https://www.ccomptes.fr/fr/publications/association-de-gestion-du-theatre-du-cratere-dales-agc-gard,Association de gestion du théâtre du cratère d'Alès (AGC) (Gard),https://www.ccomptes.fr/sites/default/files/2025-10/OCR2025-39.pdf,Occitanie,,2025-10-01,true
https://www.ccomptes.fr/fr/publications/association-regie-de-quartiers-de-grande-synthe-nord,"Association ""régie de quartiers de Grande-Synthe"" (Nord)",https://www.ccomptes.fr/sites/default/files/2025-09/HFR2025-052.pdf,,,2025-09-24,false
https://www.ccomptes.fr/fr/publications/association-stade-toulousain-de-tennis-haute-garonne,Association stade toulousain de tennis (Haute-Garonne),https://www.ccomptes.fr/sites/default/files/2025-09/OCR2025-38.pdf,,2019-2024,2025-09-08,false
https://www.ccomptes.fr/fr/publications/association-du-theatre-de-saint-quentin-en-yvelines,Association du théâtre de Saint-Quentin-en-Yvelines,https://www.ccomptes.fr/sites/default/files/2025-09/IDR2025-17.pdf,Île-de-France,,2025-09-03,true
https://www.ccomptes.fr/fr/publications/association-maison-des-arts-et-de-la-culture-mac-de-creteil-et-du-val-de-marne,Association maison des arts et de la culture (MAC) de Créteil et du Val-de-Marne,https://www.ccomptes.fr/sites/default/files/2025-09/IDR2025-25.pdf,Île-de-France,,2025-09-03,true
https://www.ccomptes.fr/fr/publications/association-points-communs-scene-nationale-de-cergy-pontoise-val-doise,"Association Points communs, scène nationale de Cergy-Pontoise (Val-d’Oise)",https://www.ccomptes.fr/sites/default/files/2025-08/IDR2025-31.pdf,Île-de-France,,2025-08-27,true
https://www.ccomptes.fr/fr/publications/association-multi-sports-et-loisirs-de-frejus-var,Association multi-sports et loisirs de Fréjus (Var),https://www.ccomptes.fr/sites/default/files/2025-07/PAR2025-0645.pdf,,,2025-07-11,false
https://www.ccomptes.fr/fr/publications/association-mission-locale-pour-lemploi-des-jeunes-dans-le-douaisis-nord,"Association ""mission locale pour l'emploi des jeunes dans le Douaisis"" (Nord)",https://www.ccomptes.fr/sites/default/files/2025-08/HFR2025-041.pdf,,,2025-08-01,false
https://www.ccomptes.fr/fr/publications/fondation-normandie-generations-orne,Fondation Normandie Générations (Orne),https://www.ccomptes.fr/sites/default/files/2025-07/NDR2025-22.pdf,Normandie,,2025-07-22,true
https://www.ccomptes.fr/fr/publications/association-laval-mayenne-technopole,Association Laval Mayenne Technopole,https://www.ccomptes.fr/sites/default/files/2025-07/20250722-arret-S2025-1040-Association%20Laval%20Mayenne%20Technopole_0.pdf,,,2025-07-22,false
https://www.ccomptes.fr/fr/publications/association-de-sauvegarde-de-lenfant-ladulte-de-lain-adsea-01,Association de sauvegarde de l'enfant à l'adulte de l'Ain (ADSEA 01),https://www.ccomptes.fr/sites/default/files/2025-07/ARA202521.pdf,Auvergne-Rhône-Alpes,2018-2023,2025-07-09,true
