url,title,siren,canonical_name,nature_juridique,score,ambiguous,thematic,departement,query_used,nb_candidates
https://www.ccomptes.fr/fr/publications/association-formation-et-ingenierie-afi-ain,Association formation et ingénierie (AFI) (Ain),751070400,ASSOCIATION FORMATION INGENIERIE (A.F.I.),9220,0.667,true,false,01,formation ingenierie,2
https://www.ccomptes.fr/fr/publications/association-adapei-loire-atlantique-loire-atlantique,Association Adapei Loire-Atlantique (Loire-Atlantique),,,,,false,false,44,adapei loire atlantique,0
https://www.ccomptes.fr/fr/publications/association-pour-la-formation-et-le-developpement-maritime-et-aquacole-mayotte,Association pour la formation et le développement maritime et aquacole à Mayotte,,,,,false,false,976,formation developpement maritime aquacole mayotte,0
https://www.ccomptes.fr/fr/publications/association-adapei-aria-de-vendee,Association Adapei-Aria de Vendée,775715105,ADAPEI ARIA DE VENDEE,9220,1.000,false,false,85,adapei aria vendee,3
https://www.ccomptes.fr/fr/publications/association-adapei-aria-de-vendee-les-actions-en-matiere-dinsertion-professionnelle,Association Adapei-Aria de Vendée - Les actions en matière d’insertion professionnelle,775715105,ADAPEI ARIA DE VENDEE,9220,0.850,false,false,85,adapei aria vendee,3
https://www.ccomptes.fr/fr/publications/association-de-lecomusee-dalsace-haut-rhin-0,Association de l'Écomusée d'Alsace (Haut-Rhin),,,,,false,false,68,lecomusee dalsace,0
https://www.ccomptes.fr/fr/publications/association-autisme-en-ile-de-france-paris-seine-et-marne-val-de-marne-yvelines,"Association Autisme en Île-de-France (Paris, Seine-et-Marne, Val-de-Marne, Yvelines)",494735863,AUTISME MARNE,9220,0.650,false,false,51,AUTISME,3
https://www.ccomptes.fr/fr/publications/association-union-sportive-montalbanaise-usm-rugby-societe-anonyme-sportive,Association Union sportive montalbanaise (USM) - Rugby société anonyme sportive professionnelle Union sportive montalbanaise (USM) (Tarn-et-Garonne),803913375,UNION SPORTIVE MONTALBANAISE OMNISPORTS (USM OMNISPORTS),9220,0.783,true,false,82,union sportive montalbanaise,31
https://www.ccomptes.fr/fr/publications/association-blagnac-football-club-haute-garonne,Association Blagnac Football Club (Haute-Garonne),423113638,BLAGNAC FOOTBALL CLUB (BFC),9220,0.917,false,false,31,blagnac football club,13
https://www.ccomptes.fr/fr/publications/association-passado-14-maison-des-adolescents-du-calvados,"Association ""Passado 14"" - Maison des adolescents du Calvados",492560933,PASSADO 14,9220,0.821,false,false,14,passado 14,1
https://www.ccomptes.fr/fr/publications/association-la-frontera-production-pyrenees-orientales,Association La Frontera Production (Pyrénées-Orientales),488625468,ASSOC LA FRONTERA PRODUCTION (ASSOC),9220,0.821,false,false,66,frontera production,3
https://www.ccomptes.fr/fr/publications/association-sportive-de-saint-etienne-loire,Association  sportive de Saint-Étienne (Loire),839173051,ASSOCIATION SPORTIVE SAINT ETIENNE SUD,9220,1.000,true,false,42,sportive saint etienne,28
https://www.ccomptes.fr/fr/publications/association-sportive-villeurbannaise-est-lyonnais-asvel-basket-metropole-de-lyon,Association Sportive Villeurbannaise Est Lyonnais (Asvel) Basket (Métropole de Lyon),779786326,ASSOC SPORTIVE VILLEURBANNAISE,9220,0.614,false,false,69,SPORTIVE villeurbannaise,11
https://www.ccomptes.fr/fr/publications/association-arts-vivants-11-aude,Association Arts Vivants 11 (Aude),342007069,ARTS VIVANTS 11 (ADDMD 11),9220,1.000,true,false,11,arts vivants 11,11
https://www.ccomptes.fr/fr/publications/association-maison-departementale-des-adolescents-du-gard,Association Maison départementale des adolescents du Gard,440654903,LA MAISON DU DIVERTISSEMENT,9220,0.583,true,false,30,MAISON,15
